,Time,Opening Price,High Price,Low Price,Closing Price,Volume
0,2020-02-21,304.19,305.2,290.66,294.07,19232331
1,2020-02-20,312.765,316.32,296.35,308.7,20251259
2,2020-02-19,301.49,315.41,301.4856,314.7,17358281
3,2020-02-18,285.6435,297.31,284.86,296.57,15547025
4,2020-02-14,287.26,294.97,286.0,289.79,26048093
5,2020-02-13,270.21,273.48,269.11,270.78,13200384
6,2020-02-12,270.01,272.8,268.4474,272.54,9366118
7,2020-02-11,267.32,272.5,264.83,267.89,15963922
8,2020-02-10,252.5,263.0,252.3,262.97,13240194
9,2020-02-07,252.64,253.53,250.572,251.59,4743803
10,2020-02-06,252.14,254.25,248.88,254.245,5457051
11,2020-02-05,251.99,252.4,247.41,250.76,5205502
12,2020-02-04,246.03,247.9,244.02,247.13,6788589
13,2020-02-03,235.7,241.1111,235.45,240.33,6398205
14,2020-01-31,243.97,244.45,234.75,236.43,9260493
15,2020-01-30,241.61,246.35,239.4,245.81,7262590
16,2020-01-29,247.39,248.84,243.94,245.54,6486279
17,2020-01-28,242.85,249.27,240.7143,247.97,7774401
18,2020-01-27,238.24,242.25,232.23,240.2,11763354
19,2020-01-24,257.5,259.5,248.3,250.48,9337839
20,2020-01-23,251.72,253.2,248.15,252.86,6112861
21,2020-01-22,249.76,253.59,249.0,250.05,5980967
22,2020-01-21,247.805,249.29,246.5703,247.94,5321260
23,2020-01-17,249.7,250.0,247.37,249.28,6344764
24,2020-01-16,247.72,249.17,246.775,248.93,7104791
25,2020-01-15,247.79,248.6891,244.53,245.57,6577636
26,2020-01-14,250.26,251.28,246.75,247.28,8989483
27,2020-01-13,247.66,252.9884,246.75,251.98,7739168
28,2020-01-10,247.33,248.55,243.75,244.32,7911560
29,2020-01-09,243.85,245.9297,240.855,243.02,6386053
30,2020-01-08,239.76,242.04,238.149,240.38,6931017
31,2020-01-07,238.2,241.77,236.39,239.93,7980144
32,2020-01-06,232.32,237.27,231.27,237.06,6572812
33,2020-01-03,235.1,237.83,234.1,236.07,5144308
34,2020-01-02,238.75,239.91,236.72,239.91,5941969
35,2019-12-31,230.9,235.675,230.13,235.3,5780283
36,2019-12-30,235.99,236.2,231.06,232.32,6456178
37,2019-12-27,239.8,240.34,235.81,236.87,6370251
38,2019-12-26,238.76,240.32,238.0,239.19,4580451
39,2019-12-24,238.2,239.31,236.82,238.62,3471597
40,2019-12-23,240.52,241.81,238.39,238.82,8884815
41,2019-12-20,238.13,240.39,237.355,239.37,15084607
42,2019-12-19,230.9,236.0,230.7,235.46,11327674
43,2019-12-18,229.69,231.94,229.35,229.51,8606969
44,2019-12-17,225.9,229.2,225.52,228.29,8081598
45,2019-12-16,225.9,228.0642,224.77,225.15,8032684
46,2019-12-13,224.19,228.98,221.82,223.99,11374183
47,2019-12-12,216.18,224.8,215.82,224.07,10152084
48,2019-12-11,214.4,217.56,214.3,217.34,5850247
49,2019-12-10,213.38,216.06,211.26,213.98,6417228
50,2019-12-09,211.25,214.37,210.9,212.17,5378320
51,2019-12-06,211.52,213.49,211.12,212.17,5810457
52,2019-12-05,210.3,210.93,207.5083,208.74,4628444
53,2019-12-04,211.02,211.92,208.27,209.42,6840459
54,2019-12-03,201.87,207.82,200.37,207.66,11853653
55,2019-12-02,216.46,217.0,208.64,209.25,9346742
56,2019-11-29,217.0,218.14,215.78,216.74,3538924
57,2019-11-27,218.67,220.05,217.18,218.24,5410718
58,2019-11-26,220.5,220.6897,216.74,217.0,9642023
59,2019-11-25,216.04,221.41,215.52,221.21,12683686
60,2019-11-22,211.09,212.9633,209.94,210.89,5602470
61,2019-11-21,211.0,213.24,209.31,210.18,7209730
62,2019-11-20,207.07,214.55,206.5643,211.18,11825438
63,2019-11-19,211.032,211.98,205.65,207.99,10384506
64,2019-11-18,203.89,213.35,203.77,212.28,14382963
65,2019-11-15,209.7,211.7799,200.6377,204.19,26355409
66,2019-11-14,208.93,209.88,206.516,209.79,13175171
67,2019-11-13,208.35,209.46,205.9,208.57,7559124
68,2019-11-12,209.72,211.86,208.31,209.61,7095971
69,2019-11-11,207.75,209.11,204.2801,208.18,6094736
70,2019-11-08,207.66,209.05,206.15,207.78,4735187
71,2019-11-07,211.106,211.7,206.54,208.34,7008498
72,2019-11-06,208.64,209.67,204.11,207.63,6725335
73,2019-11-05,210.49,211.54,207.68,209.61,7521712
74,2019-11-04,205.85,211.0,204.9203,210.5,9417905
75,2019-11-01,199.6,203.89,198.5925,202.59,7090956
76,2019-10-31,202.16,203.0,197.81,201.02,5243315
77,2019-10-30,204.0,204.23,200.26,203.0,5149038
78,2019-10-29,206.23,206.49,202.14,202.92,5280920
79,2019-10-28,206.3,208.9,205.1168,206.79,8116718
80,2019-10-25,200.1,205.3804,199.79,204.54,10577288
81,2019-10-24,196.75,198.21,195.38,196.86,5975933
82,2019-10-23,192.31,195.66,191.03,195.09,7144250
83,2019-10-22,198.3,202.53,195.3,195.61,8434228
84,2019-10-21,192.96,196.55,192.2,196.01,6546711
85,2019-10-18,194.31,195.62,187.5,190.49,7548039
