,Time,Opening Price,High Price,Low Price,Closing Price,Volume
0,2020-02-21,38.52,38.68,38.365,38.55,28464921
1,2020-02-20,38.4,38.67,38.31,38.61,27168221
2,2020-02-19,38.24,38.65,38.16,38.44,22598447
3,2020-02-18,38.19,38.3194,38.04,38.26,24273909
4,2020-02-14,38.28,38.47,38.11,38.25,27385951
5,2020-02-13,37.88,38.43,37.855,38.31,24619651
6,2020-02-12,38.19,38.33,38.02,38.04,31288355
7,2020-02-11,38.49,38.82,37.9,38.17,31973707
8,2020-02-10,38.42,38.54,38.1,38.34,18239148
9,2020-02-07,38.45,38.72,38.36,38.45,25194904
10,2020-02-06,37.8603,38.48,37.8603,38.44,26208782
11,2020-02-05,37.73,37.95,37.52,37.81,24624131
12,2020-02-04,37.08,37.74,36.935,37.63,31956317
13,2020-02-03,37.96,37.97,36.8,36.96,40779767
14,2020-01-31,37.32,37.76,37.25,37.62,41149688
15,2020-01-30,36.47,37.45,36.32,37.43,50674326
16,2020-01-29,38.5,38.56,37.025,37.05,57950696
17,2020-01-28,38.32,38.8,38.27,38.58,30835416
18,2020-01-27,38.02,38.57,38.01,38.25,35217682
19,2020-01-24,38.6,38.78,38.23,38.5,34459298
20,2020-01-23,38.96,38.99,38.55,38.63,28997746
21,2020-01-22,38.68,39.14,38.64,39.04,36111047
22,2020-01-21,38.35,38.64,38.18,38.52,43746746
23,2020-01-17,38.05,38.44,37.98,38.38,33590429
24,2020-01-16,37.99,38.13,37.77,38.03,27316799
25,2020-01-15,37.97,38.025,37.79,37.87,26073955
26,2020-01-14,38.06,38.185,37.95,38.09,26532191
27,2020-01-13,38.54,38.55,38.02,38.1,33066116
28,2020-01-10,38.81,38.95,38.57,38.57,29719924
29,2020-01-09,38.92,39.0,38.55,38.8,39446771
30,2020-01-08,39.33,39.55,39.29,39.37,40514380
31,2020-01-07,39.08,39.3,38.98,39.25,28201931
32,2020-01-06,38.99,39.15,38.82,39.1,38645625
33,2020-01-03,38.58,39.2,38.57,39.06,27414030
34,2020-01-02,39.16,39.22,38.71,38.86,32602020
35,2019-12-31,39.01,39.11,38.86,39.08,20214681
36,2019-12-30,39.27,39.28,38.98,39.04,17664785
37,2019-12-27,39.24,39.36,39.2,39.24,15430223
38,2019-12-26,38.99,39.2,38.97,39.16,19817792
39,2019-12-24,39.1,39.12,38.9,38.96,8697213
40,2019-12-23,39.25,39.432,39.04,39.07,29139603
41,2019-12-20,39.21,39.26,38.89,39.15,48368071
42,2019-12-19,38.79,38.93,38.66,38.93,25075059
43,2019-12-18,38.6,38.93,38.59,38.74,28433492
44,2019-12-17,38.6,38.7,38.45,38.5,34738147
45,2019-12-16,38.37,38.65,38.37,38.59,24043121
46,2019-12-13,38.21,38.28,37.95,38.26,24892386
47,2019-12-12,38.2,38.57,38.2,38.35,23588724
48,2019-12-11,38.02,38.25,38.0,38.17,18292294
49,2019-12-10,38.07,38.27,37.82,38.06,21777010
50,2019-12-09,38.12,38.43,38.03,38.04,20602837
51,2019-12-06,38.29,38.58,38.135,38.2,22606015
52,2019-12-05,38.12,38.36,38.01,38.19,21764218
53,2019-12-04,37.59,38.36,37.51,38.1,38235104
54,2019-12-03,37.2,37.55,36.905,37.55,24865449
55,2019-12-02,37.48,37.48,37.23,37.32,24881860
56,2019-11-29,37.74,37.96,37.36,37.38,18172510
57,2019-11-27,37.44,37.82,37.4,37.66,17064129
58,2019-11-26,37.28,37.44,36.77,37.4,54019793
59,2019-11-25,37.9,37.9,37.18,37.26,32455011
60,2019-11-22,37.75,37.93,37.69,37.75,19875853
61,2019-11-21,37.03,37.7,37.03,37.6,31350842
62,2019-11-20,37.09,37.61,36.4,37.18,69827843
63,2019-11-19,38.92,38.97,37.37,38.0,64526744
64,2019-11-18,39.3,39.7,39.21,39.63,25958330
65,2019-11-15,39.13,39.51,39.06,39.5,31474264
66,2019-11-14,38.97,39.08,38.69,38.95,27461248
67,2019-11-13,39.19,39.31,39.05,39.16,16592926
68,2019-11-12,39.4,39.48,39.07,39.17,16545133
69,2019-11-11,39.26,39.38,39.2,39.37,13574533
70,2019-11-08,39.34,39.425,39.09,39.38,18630247
71,2019-11-07,39.29,39.58,39.25,39.42,25540311
72,2019-11-06,39.25,39.28,38.99,39.25,21996574
73,2019-11-05,38.81,39.31,38.79,39.17,29697398
74,2019-11-04,39.1,39.5,38.86,38.89,35856608
75,2019-11-01,38.95,39.02,38.74,38.95,35227512
76,2019-10-31,38.21,38.49,37.88,38.49,39481208
77,2019-10-30,38.39,38.8675,38.11,38.2,34010886
78,2019-10-29,38.49,38.49,37.98,38.06,26699197
79,2019-10-28,38.3,38.86,37.97,38.49,62219379
80,2019-10-25,36.94,37.17,36.72,36.91,33219132
81,2019-10-24,37.69,37.77,36.54,36.82,40868779
82,2019-10-23,38.01,38.14,37.625,37.74,24357322
83,2019-10-22,37.82,38.36,37.6,38.17,20369745
