,Time,Opening Price,High Price,Low Price,Closing Price,Volume
0,2020-02-21,0.596,0.5961,0.5751,0.591,1634562
1,2020-02-20,0.63,0.63,0.5876,0.6,1805333
2,2020-02-19,0.6001,0.6352,0.5819,0.6189,1640279
3,2020-02-18,0.5843,0.615,0.4544,0.613,5845055
4,2020-02-14,0.65,0.6549,0.61,0.6168,2386679
5,2020-02-13,0.68,0.683,0.637,0.6449,2442726
6,2020-02-12,0.6701,0.6999,0.6701,0.6769,2225495
7,2020-02-11,0.663,0.6807,0.655,0.67,1012049
8,2020-02-10,0.66,0.6763,0.6301,0.6623,1180198
9,2020-02-07,0.6849,0.6849,0.6452,0.662,743659
10,2020-02-06,0.68,0.6975,0.6725,0.6905,1309616
11,2020-02-05,0.66,0.69,0.653,0.68,1698900
12,2020-02-04,0.635,0.66,0.6313,0.653,1379532
13,2020-02-03,0.6504,0.66,0.623,0.6311,1742638
14,2020-01-31,0.65,0.65,0.6259,0.6328,1010469
15,2020-01-30,0.632,0.6455,0.62,0.6389,821891
16,2020-01-29,0.6573,0.6573,0.627,0.6378,469041
17,2020-01-28,0.61,0.6499,0.61,0.6337,983846
18,2020-01-27,0.624,0.66,0.6,0.6353,3069637
19,2020-01-24,0.66,0.6791,0.6324,0.6466,2450696
20,2020-01-23,0.682,0.6848,0.66,0.6661,2069683
21,2020-01-22,0.698,0.7059,0.6621,0.6793,2876030
22,2020-01-21,0.75,0.76,0.6952,0.7,2486559
23,2020-01-17,0.7078,0.71,0.6852,0.6913,1073224
24,2020-01-16,0.683,0.6978,0.68,0.6934,1459837
25,2020-01-15,0.6859,0.7,0.6738,0.6805,1142399
26,2020-01-14,0.7249,0.7249,0.69,0.6933,1018695
27,2020-01-13,0.69,0.7282,0.6821,0.7168,1586437
28,2020-01-10,0.663,0.7,0.663,0.6801,1156232
29,2020-01-09,0.68,0.6801,0.66,0.663,1808634
30,2020-01-08,0.7,0.7,0.675,0.6762,1777358
31,2020-01-07,0.6827,0.71,0.675,0.7027,1349423
32,2020-01-06,0.7398,0.7499,0.6612,0.6696,4488695
33,2020-01-03,0.758,0.758,0.73,0.7454,1700817
34,2020-01-02,0.7492,0.7567,0.722,0.75,2227508
35,2019-12-31,0.729,0.7492,0.7066,0.7362,2158315
36,2019-12-30,0.71,0.74,0.7034,0.723,3003690
37,2019-12-27,0.7,0.745,0.68,0.7034,3266372
38,2019-12-26,0.67,0.699,0.656,0.685,1259119
39,2019-12-24,0.68,0.69,0.66,0.669,926229
40,2019-12-23,0.708,0.7099,0.669,0.6726,2414592
41,2019-12-20,0.6583,0.7379,0.632,0.7141,8045419
42,2019-12-19,0.625,0.6588,0.6023,0.6585,4388366
43,2019-12-18,0.6836,0.6893,0.6286,0.6369,2914354
44,2019-12-17,0.72,0.7397,0.63,0.682,5878578
45,2019-12-16,0.7743,0.7884,0.71,0.73,8809766
46,2019-12-13,0.74,0.78,0.71,0.7502,10608219
47,2019-12-12,0.62,0.7298,0.6175,0.693,6660517
48,2019-12-11,0.6,0.65,0.5962,0.6141,4605629
49,2019-12-10,0.5629,0.5969,0.5443,0.5962,2021972
50,2019-12-09,0.6,0.6016,0.55,0.5652,5351604
51,2019-12-06,0.5675,0.62,0.5675,0.5883,7233796
52,2019-12-05,0.4957,0.58,0.4957,0.575,9075147
53,2019-12-04,0.48,0.5,0.475,0.49,1748302
54,2019-12-03,0.46,0.4823,0.452,0.4766,1779950
