,Time,Opening Price,High Price,Low Price,Closing Price,Volume
0,2020-02-21,906.98,913.06,880.45,901.0,14339446
1,2020-02-20,911.95,912.0,859.94,899.41,17634893
2,2020-02-19,923.5,944.78,901.02,917.42,25422958
3,2020-02-18,841.6,860.0,832.36,858.4,16698369
4,2020-02-14,787.22,812.97,785.5,800.03,15693711
5,2020-02-13,741.84,818.0,735.0,804.0,26289348
6,2020-02-12,777.87,789.75,763.37,767.29,12022470
7,2020-02-11,768.79,783.5061,758.0,774.38,11697473
8,2020-02-10,800.0,819.99,752.4,771.28,24689163
9,2020-02-07,730.55,769.75,730.0,748.07,17063521
10,2020-02-06,699.92,795.83,687.0,748.96,39880752
11,2020-02-05,823.26,845.98,704.1106,734.7,48423837
12,2020-02-04,882.96,968.9899,833.88,887.06,60938758
13,2020-02-03,673.69,786.14,673.52,780.0,47233495
14,2020-01-31,640.0,653.0,632.52,650.57,15719266
15,2020-01-30,632.42,650.88,618.0,640.81,29005676
16,2020-01-29,575.69,589.7999,567.43,580.99,18216672
17,2020-01-28,568.49,576.81,558.08,566.9,11788493
18,2020-01-27,541.99,564.44,539.28,558.02,13608068
19,2020-01-24,570.63,573.86,554.26,564.82,14353600
20,2020-01-23,564.25,582.0,555.6027,572.2,19651042
21,2020-01-22,571.89,594.5,559.1,569.56,31369028
22,2020-01-21,530.25,548.58,528.41,547.2,17447270
23,2020-01-17,507.61,515.6699,503.16,510.5,13629073
24,2020-01-16,493.75,514.46,492.17,513.49,21736653
25,2020-01-15,529.76,537.84,516.7853,518.5,17368831
26,2020-01-14,544.255,547.41,524.9,537.92,29061377
27,2020-01-13,493.5,525.63,492.0,524.86,26307458
28,2020-01-10,481.79,484.94,473.7,478.15,12976832
29,2020-01-09,497.1,498.8,472.87,481.34,28463186
30,2020-01-08,473.7,498.49,468.23,492.14,31199393
31,2020-01-07,461.4,471.63,453.355,469.06,18209138
32,2020-01-06,440.47,451.56,440.0,451.54,10157499
33,2020-01-03,440.5,454.0,436.92,443.01,17794697
34,2020-01-02,424.5,430.6957,421.71,430.26,9558386
35,2019-12-31,405.0003,421.29,402.08,418.33,10292456
36,2019-12-30,428.79,429.0,409.2589,414.7,12601265
37,2019-12-27,435.0,435.31,426.11,430.38,9956827
38,2019-12-26,427.91,433.48,426.35,430.94,10648289
39,2019-12-24,418.36,425.47,412.6875,425.25,8054720
40,2019-12-23,411.78,422.01,410.0,419.22,13332821
41,2019-12-20,410.29,413.0,400.185,405.59,14785206
42,2019-12-19,397.32,406.85,396.5,404.04,18120307
43,2019-12-18,380.63,395.22,380.58,393.15,14136392
44,2019-12-17,378.99,385.5,375.9,378.99,8503775
45,2019-12-16,362.55,383.61,362.5,381.5,18220940
46,2019-12-13,361.05,365.21,354.64,358.39,6574281
47,2019-12-12,354.92,362.74,353.23,359.68,7776211
48,2019-12-11,351.8765,357.1899,351.09,352.7,6919162
49,2019-12-10,339.96,350.73,339.31,348.84,8839951
50,2019-12-09,336.59,344.45,335.08,339.53,9040217
51,2019-12-06,335.0,338.86,334.77,335.89,7618937
52,2019-12-05,332.83,334.4227,327.25,330.37,3736976
53,2019-12-04,337.75,337.86,332.85,333.03,5536255
54,2019-12-03,332.62,337.91,332.186,336.2,6613476
55,2019-12-02,329.4,336.3827,328.687,334.87,6081986
56,2019-11-29,331.11,331.26,327.5,329.94,2465629
57,2019-11-27,331.12,333.93,328.57,331.29,5563459
58,2019-11-26,335.27,335.5,327.1,328.92,7956239
59,2019-11-25,344.32,344.57,334.46,336.34,12345765
60,2019-11-22,340.16,341.0,330.0,333.04,16870642
61,2019-11-21,354.51,360.84,354.0039,354.83,6110013
62,2019-11-20,360.0,361.2,349.57,352.22,6733965
63,2019-11-19,351.75,359.99,347.8,359.52,7736078
64,2019-11-18,352.9165,353.15,346.1,349.99,4408505
65,2019-11-15,350.64,352.8,348.36,352.17,4812563
66,2019-11-14,346.11,353.84,342.91,349.35,6471703
67,2019-11-13,355.0,356.33,345.18,346.11,8467863
68,2019-11-12,346.9,350.37,344.04,349.93,7359383
69,2019-11-11,343.95,349.19,342.0,345.09,9993689
70,2019-11-08,334.5,337.46,332.5,337.14,6074221
71,2019-11-07,329.14,341.5,328.02,335.54,14467348
72,2019-11-06,318.0,326.72,314.5,326.58,7940932
73,2019-11-05,319.62,323.51,316.118,317.22,6943417
74,2019-11-04,314.8,321.94,309.26,317.47,8787040
75,2019-11-01,316.32,316.48,309.8,313.31,6383929
76,2019-10-31,313.1,319.0,313.0,314.92,5066956
77,2019-10-30,313.0,318.79,309.97,315.01,9641810
78,2019-10-29,319.99,324.3,314.75,316.22,12684267
79,2019-10-28,327.54,340.84,322.6,327.71,18737839
80,2019-10-25,297.72,330.0,296.11,328.13,30006091
81,2019-10-24,298.37,304.93,289.2,299.68,29819231
82,2019-10-23,254.5,256.14,251.35,254.68,11216182
83,2019-10-22,254.32,258.33,250.85,255.58,4625095
84,2019-10-21,258.33,259.5,250.18,253.5,5020339
85,2019-10-18,260.7,262.8,255.1,256.95,5720888
86,2019-10-17,262.5,264.78,260.17,261.97,4779043
87,2019-10-16,257.39,262.1,256.92,259.75,6704303
88,2019-10-15,257.7,260.0,254.12,257.89,6479456
89,2019-10-14,247.9,258.55,247.13,256.96,10226863
90,2019-10-11,247.15,251.08,246.81,247.89,8488159
91,2019-10-10,245.28,249.28,241.58,244.74,6313417
92,2019-10-09,241.32,247.295,240.65,244.53,6935033
93,2019-10-08,235.87,243.94,234.5,240.05,8702338
94,2019-10-07,229.8,238.56,228.55,237.72,8086957
95,2019-10-04,231.61,234.78,228.07,231.43,8021180
96,2019-10-03,231.86,234.48,224.28,233.03,15137763
97,2019-10-02,243.29,244.65,239.43,243.13,6256548
98,2019-10-01,241.5,245.95,239.13,244.69,6196290
99,2019-09-30,243.0,243.98,236.1111,240.87,5946161
100,2019-09-27,242.2,248.71,238.73,242.13,11123179
101,2019-09-26,230.66,243.31,227.4,242.56,12078785
102,2019-09-25,224.56,228.98,218.36,228.7,9444286
103,2019-09-24,241.52,241.99,222.61,223.21,12941112
104,2019-09-23,240.0,245.1794,239.22,241.23,4391630
105,2019-09-20,246.49,246.946,238.16,240.62,6506264
106,2019-09-19,246.0,247.94,244.84,246.6,4883135
107,2019-09-18,245.0,248.1685,242.37,243.49,4228103
108,2019-09-17,242.47,245.6,240.37,244.79,3946909
109,2019-09-16,246.0,247.43,241.17,242.81,4728096
110,2019-09-13,246.96,248.45,244.865,245.2,5313145
111,2019-09-12,247.7,253.5,244.4,245.87,8581210
112,2019-09-11,237.38,248.1741,236.0,247.1,10042777
113,2019-09-10,230.8,235.54,228.94,235.54,4883714
114,2019-09-09,230.0,233.76,229.23,231.79,4802669
115,2019-09-06,227.2,229.64,225.17,227.45,4189372
116,2019-09-05,222.5,229.8,220.85,229.58,7403322
117,2019-09-04,226.89,228.46,219.205,220.68,5768696
118,2019-09-03,224.08,228.95,223.16,225.01,5360546
119,2019-08-30,229.15,232.44,224.213,225.61,9327775
120,2019-08-29,219.0,223.4,218.0,221.71,5183104
121,2019-08-28,213.69,217.25,212.31,215.59,3223082
122,2019-08-27,215.74,218.8,212.03,214.08,5420727
123,2019-08-26,213.6,215.02,211.54,215.0,5054414
124,2019-08-23,219.97,221.17,211.0,211.4,8559704
125,2019-08-22,222.8,225.4,218.22,222.15,6564964
126,2019-08-21,222.01,223.22,217.6,220.83,7799744
127,2019-08-20,227.62,229.09,224.54,225.86,4170527
128,2019-08-19,224.21,227.83,221.7,226.83,5311748
129,2019-08-16,216.66,222.24,216.02,219.94,5207376
